City_ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sangar,RU,63.9242,127.4739,66.54,63,55,10.25,broken clouds
80,Kulhudhuffushi,MV,6.6221,73.07,81.3,74,100,11.92,overcast clouds
81,Meulaboh,ID,4.1363,96.1285,76.42,87,100,0.45,moderate rain
82,Mnogovershinnyy,RU,53.9353,139.9242,61.68,48,53,3.31,broken clouds
83,Qaanaaq,GL,77.484,-69.3632,36.79,100,100,7.25,light rain
84,Busselton,AU,-33.65,115.3333,52.86,63,0,13.98,clear sky
85,Ribeira Grande,PT,38.5167,-28.7,70.2,68,75,9.22,broken clouds
86,Cabo San Lucas,MX,22.8909,-109.9124,95.31,40,0,12.66,clear sky
87,Sorong,ID,-0.8833,131.25,78.44,84,75,6.4,light rain
88,Ahipara,NZ,-35.1667,173.1667,50.77,80,50,5.3,scattered clouds
89,Broome,US,42.2506,-75.833,80.01,42,0,11.5,clear sky
90,Kavieng,PG,-2.5744,150.7967,81.57,78,57,14.56,moderate rain
91,Coahuayana,MX,18.7333,-103.6833,91.51,58,91,7.96,overcast clouds
92,Port Macquarie,AU,-31.4333,152.9167,48.88,81,2,5.95,clear sky
93,Tuktoyaktuk,CA,69.4541,-133.0374,78.8,50,75,10.36,broken clouds
94,Aswan,EG,24.0934,32.907,92.5,16,0,9.22,clear sky
95,Vaini,TO,-21.2,-175.2,71.76,88,75,12.66,light intensity shower rain
96,Barcelos,PT,41.5388,-8.6151,74.91,78,73,2.71,broken clouds
97,Jamestown,US,42.097,-79.2353,79.52,32,0,9.22,clear sky
98,Ilulissat,GL,69.2167,-51.1,57.22,38,23,8.05,few clouds
99,Bilibino,RU,68.0546,166.4372,52.2,72,100,3.22,overcast clouds
100,Harper,LR,4.375,-7.7169,75.97,82,74,11.36,light rain
101,Klaksvik,FO,62.2266,-6.589,49.12,87,100,18.21,overcast clouds
102,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,73,75,10.36,broken clouds
103,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,69,0,11.5,clear sky
104,Zlitan,LY,32.4674,14.5687,77.59,92,12,7.0,few clouds
105,Makat,KZ,47.6469,53.3463,63.75,64,86,9.69,overcast clouds
106,Necochea,AR,-38.5473,-58.7368,52.25,40,100,7.23,overcast clouds
107,Anadyr,RU,64.75,177.4833,46.9,87,75,4.47,fog
108,Winslow,US,35.0242,-110.6974,91.58,21,75,12.66,broken clouds
109,Calama,CL,-22.4667,-68.9333,70.29,4,0,18.41,clear sky
110,Ust-Nera,RU,64.5667,143.2,69.53,45,100,3.69,overcast clouds
111,Sobolevo,RU,54.4299,31.8996,66.87,86,95,4.21,overcast clouds
112,Gweta,BW,-20.1833,25.2333,63.41,41,27,7.05,scattered clouds
113,Usinsk,RU,65.9939,57.5281,49.14,70,52,8.5,broken clouds
114,Chuy,UY,-33.6971,-53.4616,51.17,73,100,7.2,overcast clouds
115,Atbasar,KZ,51.8,68.3333,62.35,63,100,15.03,overcast clouds
116,Neiafu,TO,-18.65,-173.9833,77.68,88,20,8.05,few clouds
117,Sile,TR,41.1754,29.6133,72.57,56,0,5.01,clear sky
118,Loikaw,MM,19.6742,97.2094,67.86,95,93,2.42,overcast clouds
119,Price,US,39.5994,-110.8107,88.86,15,0,14.97,clear sky
120,Saint George,US,37.1041,-113.5841,100.63,12,0,28.77,clear sky
121,Khatanga,RU,71.9667,102.5,44.55,75,98,15.97,overcast clouds
122,Chara,RU,56.9064,118.2631,65.88,83,100,5.37,light rain
123,Alvaraes,BR,-3.2208,-64.8042,82.27,61,74,3.6,broken clouds
124,Georgetown,MY,5.4112,100.3354,83.95,86,20,1.14,few clouds
125,Sao Filipe,CV,14.8961,-24.4956,75.02,74,12,12.41,few clouds
126,Hobart,AU,-42.8794,147.3294,43.27,89,20,4.61,few clouds
127,Svetlogorsk,BY,52.6333,29.7333,65.68,74,21,3.78,few clouds
128,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,66.31,69,100,1.97,overcast clouds
129,Athabasca,CA,54.7169,-113.2854,72.01,45,10,4.25,clear sky
130,Upernavik,GL,72.7868,-56.1549,39.02,78,17,12.03,few clouds
131,Auki,SB,-8.7676,160.7034,76.93,86,18,4.14,few clouds
132,Mount Hagen,PG,-5.8581,144.2274,50.76,93,20,3.44,few clouds
133,Severo-Kurilsk,RU,50.6789,156.125,49.42,90,65,9.69,broken clouds
134,Aykhal,RU,66.0,111.5,59.54,95,100,22.5,overcast clouds
135,Toul,FR,48.6667,5.9167,75.49,56,0,10.36,clear sky
136,Sinnamary,GF,5.3833,-52.95,81.55,77,83,8.93,broken clouds
137,Mana,GF,5.6592,-53.7767,82.0,76,99,9.31,overcast clouds
138,Puerto Ayora,EC,-0.7393,-90.3518,75.16,86,90,7.0,overcast clouds
139,Nanortalik,GL,60.1432,-45.2371,47.44,91,100,9.93,overcast clouds
140,Marsh Harbour,BS,26.5412,-77.0636,82.13,72,100,12.95,overcast clouds
141,Andra,RU,62.5147,65.8878,47.34,71,100,8.86,overcast clouds
142,Merrill,US,45.1805,-89.6835,78.58,53,0,5.75,clear sky
143,Kitimat,CA,54.0524,-128.6534,84.9,54,17,3.18,few clouds
144,Zhob,PK,31.3411,69.4481,83.44,56,100,6.58,overcast clouds
145,Bredasdorp,ZA,-34.5322,20.0403,48.65,88,0,3.89,clear sky
146,Provideniya,RU,64.3833,-173.3,46.51,93,100,7.0,fog
147,Saskylakh,RU,71.9167,114.0833,49.44,62,100,14.03,overcast clouds
148,Barrow,US,71.2906,-156.7887,44.62,81,20,9.22,smoke
149,Lompoc,US,34.6391,-120.4579,76.78,72,0,24.0,clear sky
150,Udachnyy,RU,66.4167,112.4,61.45,100,100,20.92,overcast clouds
151,Roma,US,43.2128,-75.4557,76.51,43,0,13.8,clear sky
152,Muros,ES,42.7762,-9.0603,67.08,80,45,18.59,scattered clouds
153,Caravelas,BR,-17.7125,-39.2481,73.08,74,0,4.99,clear sky
154,Athens,GR,37.9795,23.7162,82.17,43,0,7.0,clear sky
155,Nhulunbuy,AU,-12.2333,136.7667,74.01,68,100,18.41,overcast clouds
156,Yulara,AU,-25.2406,130.9889,39.54,74,0,9.46,clear sky
157,Balykshi,KZ,47.0667,51.8667,59.0,88,40,13.42,scattered clouds
158,Narsaq,GL,60.9167,-46.05,61.02,65,100,2.66,overcast clouds
159,Cusset,FR,46.13,3.4596,73.74,92,67,2.66,broken clouds
160,Boca Do Acre,BR,-8.7522,-67.3978,83.35,66,100,0.65,overcast clouds
161,Adet,ET,11.2644,37.4888,58.84,89,100,1.61,light rain
162,Calebasses,MU,-20.1117,57.5539,71.49,77,57,22.68,broken clouds
163,Vardo,NO,70.3705,31.1107,51.78,93,75,12.66,broken clouds
164,Batetskiy,RU,58.6461,30.3027,63.73,98,48,4.72,scattered clouds
165,Cam Ranh,VN,11.9214,109.1591,82.36,69,20,1.14,few clouds
166,Dingle,PH,10.9995,122.6711,78.89,88,100,3.53,overcast clouds
